company,ratings,Industry,location,reviews,salaries,jobs
TCS,3.3,IT Services & Consulting,Bengaluru,110000.00000000001,990000.0,3500.0
Accenture,3.7,IT Services & Consulting,Bengaluru,72400.0,660000.0,28000.0
Wipro,3.6,IT Services & Consulting,Hyderabad,64300.0,480000.0,448.0
Cognizant,3.7,IT Services & Consulting,Hyderabad,60600.0,600000.0,472.0
Capgemini,3.7,IT Services & Consulting,Bengaluru,52300.0,480000.0,2600.0
"HDFC, Bank",3.8,Banking,Mumbai,51500.0,150000.0,385.0
Infosys,3.5,IT Services & Consulting,Bengaluru,48100.0,520000.0,2500.0
"ICICI, Bank",3.9,Banking,Mumbai,45400.0,150000.0,15.0
HCLTech,3.4,IT Services & Consulting,Chennai,45300.0,380000.0,278.0
"Tech, Mahindra",3.4,IT Services & Consulting,Hyderabad,42800.0,280000.0,662.0
Genpact,3.6,Analytics & KPO,Hyderabad,41500.0,229999.99999999997,893.0
TP,3.8,BPO,Mumbai,37700.0,97400.0,2100.0
Jio,4.4,Telecom,Mumbai,33500.0,62600.0,1.0
"Axis, Bank",3.6,Banking,Mumbai,32700.000000000004,100000.0,232.0
"Concentrix, Corporation",3.6,BPO,Bengaluru,31800.0,130000.0,40.0
Amazon,3.9,Internet,Bengaluru,31200.0,150000.0,2100.0
"Reliance, Retail",3.9,Retail,Mumbai,27200.0,76600.0,137.0
iEnergizer,4.6,BPO,Noida,27100.0,24400.0,93.0
LTIMindtree,3.6,IT Services & Consulting,Bengaluru,26100.0,190000.0,351.0
IBM,3.9,IT Services & Consulting,Bengaluru,25500.0,210000.0,2000.0
"HDB, Financial, Services",3.9,NBFC,Mumbai,25400.0,49800.0,2000.0
"Larsen, Toubro, Limited",3.9,Engineering & Construction,Chennai,23600.0,75000.0,70.0
Deloitte,3.7,Management Consulting,Hyderabad,22800.0,250000.0,1600.0
"Kotak, Mahindra, Bank",3.6,Banking,Mumbai,22200.0,87100.0,161.0
"Reliance, Industries",4.0,Oil & Gas,Jamnagar,20000.0,72900.0,83.0
"Vodafone, Idea",3.9,Telecom,Pune,17500.0,49600.0,61.0
"Bharti, Airtel",3.8,Telecom,Gurugram,17000.0,49700.0,182.0
"BYJU, S",3.2,EdTech,Bengaluru,16400.0,53400.0,1.0
WNS,3.3,IT Services & Consulting,Pune,15000.0,69900.0,97.0
"IDFC, FIRST, Bank",3.9,Banking,Mumbai,14300.0,49300.0,42.0
"Ernst, Young",3.4,Management Consulting,Bengaluru,14300.0,140000.0,3800.0
"Tata, Motors",4.1,Automobile,Pune,14100.0,42900.0,159.0
"IndusInd, Bank",3.4,Banking,Mumbai,14100.0,52000.0,95.0
"AU, Small, Finance, Bank",3.9,Banking,Jaipur,14000.0,29600.0,218.0
"Muthoot, FinCorp",4.6,NBFC,Bengaluru,13100.0,9200.0,19.0
"Bajaj, Finserv",4.0,NBFC,Pune,12900.0,30600.0,11.0
Flipkart,3.9,Internet,Bengaluru,12800.0,54800.0,139.0
PwC,3.3,Management Consulting,Bengaluru,12300.0,120000.0,1100.0
"Mahindra, Mahindra",4.0,Automobile,Pune,11900.0,40300.0,1.0
"Infosys, BPM",3.5,BPO,Bengaluru,11900.0,74700.0,66.0
"DXC, Technology",3.6,IT Services & Consulting,Bengaluru,11900.0,71900.0,202.0
"HDFC, Life",3.9,Insurance,Mumbai,11900.0,32900.0,105.0
"Bandhan, Bank",3.7,Banking,Kolkata,10900.0,24800.0,32.0
"Digitide, Solutions",3.5,IT Services & Consulting,Hyderabad,10200.0,26700.0,335.0
Mphasis,3.3,IT Services & Consulting,Bengaluru,10100.0,74100.0,45.0
